dataset,comparison,miRNA,n_group_a,n_group_b,group_a_label,group_b_label,mean_group_a_log2,mean_group_b_log2,sd_group_a_log2,sd_group_b_log2,log2FC_groupA_minus_groupB,fold_change_groupA_over_groupB,se_log2FC,welch_t,p_welch,q_bh_welch,p_mann_whitney,auc_groupA_high,auc_bootstrap_ci95_low,auc_bootstrap_ci95_high
GSE190749,SD_vs_NonSevere,hsa-miR-18a-5p,8.0,11.0,Severe dengue,Non-severe dengue,0.7705268099100906,2.121010322319272,,,-1.3504835124091816,0.3921605961555041,,-2.408030298169643,0.0300165915613198,0.9413072241304024,0.1466699764691906,0.2954545454545454,,
GSE190749,SD_vs_NonSevere,hsa-miR-122-5p,8.0,11.0,Severe dengue,Non-severe dengue,7.9621180519855645,5.766768131928444,,,2.1953499200571205,4.580007370618255,,2.4325407364819918,0.0317406647256867,0.9413072241304024,0.0327591225424042,0.7954545454545454,,
GSE190749,SD_vs_NonSevere,hsa-miR-320d,8.0,11.0,Severe dengue,Non-severe dengue,2.700530086611604,0.879235636089115,,,1.8212944505224888,3.5339814092709703,,2.536677007411742,0.0321724652616996,0.9413072241304024,0.0349189558702637,0.7954545454545454,,
GSE190749,SD_vs_NonSevere,hsa-miR-604,8.0,11.0,Severe dengue,Non-severe dengue,0.7623163120244703,1.9216586392285837,,,-1.159342327204113,0.4477165868445431,,-2.3510784761872747,0.0329566706892413,0.9413072241304024,0.1477410552596072,0.2954545454545454,,
GSE190749,SD_vs_NonSevere,hsa-miR-1972,8.0,11.0,Severe dengue,Non-severe dengue,6.56125530293076,5.016828898453988,,,1.5444264044767717,2.9168807466095426,,2.3310887705802177,0.0346348703577474,0.9413072241304024,0.0506205181127781,0.7727272727272727,,
GSE190749,SD_vs_NonSevere,hsa-miR-630,8.0,11.0,Severe dengue,Non-severe dengue,6.193282364615599,5.086185940916107,,,1.1070964236994918,2.154116719722476,,2.3267133987012443,0.0385216084317819,0.9413072241304024,0.040882749861078,0.7840909090909091,,
GSE190749,SD_vs_NonSevere,hsa-miR-610,8.0,11.0,Severe dengue,Non-severe dengue,2.178805892043129,3.869108848260764,,,-1.6903029562176353,0.3098618492560704,,-2.2621688350122517,0.0417078379524376,0.9413072241304024,0.0620253499510465,0.2386363636363636,,
GSE190749,SD_vs_NonSevere,hsa-miR-152-3p,8.0,11.0,Severe dengue,Non-severe dengue,1.3680399413342823,0.2674751532426368,,,1.1005647880916456,2.1443862478311253,,2.436018798064626,0.0419746194805848,0.9413072241304024,0.0150064225672195,0.8352272727272727,,
GSE190749,SD_vs_NonSevere,hsa-miR-181a-5p,8.0,11.0,Severe dengue,Non-severe dengue,3.671790171595349,1.6830808050156427,,,1.9887093665797064,3.968817892951172,,2.281336268871242,0.0422848729131555,0.9413072241304024,0.0627237892113179,0.7613636363636364,,
GSE190749,SD_vs_NonSevere,hsa-miR-5196-5p,8.0,11.0,Severe dengue,Non-severe dengue,2.920659426845626,4.228284837851613,,,-1.3076254110059873,0.4039852680666813,,-2.376322795113716,0.0440448898841895,0.9413072241304024,0.0259321002355058,0.1931818181818181,,
