dataset,comparison,miRNA,n_group_a,n_group_b,group_a_label,group_b_label,mean_group_a_log2,mean_group_b_log2,sd_group_a_log2,sd_group_b_log2,log2FC_groupA_minus_groupB,fold_change_groupA_over_groupB,se_log2FC,welch_t,p_welch,q_bh_welch,p_mann_whitney,auc_groupA_high,auc_bootstrap_ci95_low,auc_bootstrap_ci95_high,is_primary_target,is_limothai_candidate,note
GSE169170,DHF_DSS_vs_DF,hsa-miR-30d-5p,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,0.6750347335454776,0.13750352374993502,1.2019563251305339,0.0,0.5375312097955426,1.4514865563421362,0.5375312097955425,1.0000000000000002,0.3739009663000589,0.6895264872888526,0.6055766163353464,0.6,,,False,True,
GSE169170,DHF_DSS_vs_DF,hsa-miR-424-5p,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True,
GSE169170,DHF_DSS_vs_DF,hsa-miR-320a,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,1.0517333625366159,2.1703147782499275,1.5037212119267276,0.7828477166453195,-1.1185814157133116,0.46054645240597514,0.8102586083829084,-1.3805239514156415,0.21675530210887828,0.6895264872888526,0.22169999376487637,0.2,,,False,False,
GSE169170,DHF_DSS_vs_DF,hsa-miR-486-5p,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,5.22397748336333,6.190212820664764,1.5240224458064418,0.6648026522966007,-0.9662353373014341,0.5118399503377296,0.7822082450118818,-1.23526611163087,0.26459472249575466,0.6895264872888526,0.5714285714285714,0.3333333333333333,,,False,False,
GSE169170,DHF_DSS_vs_DF,hsa-miR-146a-5p,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,False,
GSE169170,DHF_DSS_vs_DF,hsa-miR-126-5p,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,False,
GSE307678,WS_vs_WO,hsa-miR-574-5p,3.0,3.0,Dengue with warning signs,Dengue without warning signs,4.827062654250585,6.563009579917382,1.5786783465700738,1.6609846733830178,-1.7359469256667968,0.3002119009609614,1.3230136566620054,-1.3121156512069811,0.2598802776111254,0.45596202486439397,0.4,0.2222222222222222,,,True,True,
GSE307678,WS_vs_WO,hsa-miR-1246,3.0,3.0,Dengue with warning signs,Dengue without warning signs,1.452231825003522,0.13750352374993502,1.1402066001517737,0.0,1.314728301253587,2.4875547882029854,0.6582985875294145,1.9971610545113643,0.18389029961281111,0.45596202486439397,0.19670560245894686,0.8333333333333334,,,True,True,
GSE307678,WS_vs_WO,hsa-miR-122-5p,3.0,3.0,Dengue with warning signs,Dengue without warning signs,0.9212967954959638,1.356993795687088,0.68368312261797,2.1122191103311354,-0.4356970001911241,0.739336477339515,1.2817815963468857,-0.33991516295199825,0.761271265210032,0.7682875902350093,1.0,0.5555555555555556,,,False,True,
GSE307678,WS_vs_WO,hsa-miR-1303,3.0,3.0,Dengue with warning signs,Dengue without warning signs,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True,
GSE307678,WS_vs_WO,hsa-miR-30d-5p,3.0,3.0,Dengue with warning signs,Dengue without warning signs,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True,
GSE307678,WS_vs_WO,hsa-miR-424-5p,3.0,3.0,Dengue with warning signs,Dengue without warning signs,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True,
GSE307678,WS_vs_WO,hsa-miR-320a,3.0,3.0,Dengue with warning signs,Dengue without warning signs,0.33407580812130044,0.13750352374993502,0.34047318389108255,0.0,0.19657228437136542,1.1459723890620879,0.19657228437136545,0.9999999999999999,0.4226497308103743,0.45596202486439397,0.5049850750938458,0.6666666666666666,,,False,False,
GSE307678,WS_vs_WO,hsa-miR-486-5p,3.0,3.0,Dengue with warning signs,Dengue without warning signs,4.646500514708926,1.1248615509347157,1.369565334025648,1.710154268345013,3.52163896377421,11.484681669487854,1.2649554439720332,2.784002377756532,0.05229490371244999,0.455681370127788,0.07652250047505922,1.0,,,False,False,
GSE307678,WS_vs_WO,hsa-miR-146a-5p,3.0,3.0,Dengue with warning signs,Dengue without warning signs,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,False,
GSE307678,WS_vs_WO,hsa-miR-126-5p,3.0,3.0,Dengue with warning signs,Dengue without warning signs,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,False,
