miRNA,total_count,detected_samples,nb2_offset_log2FC,nb2_offset_se,nb2_offset_p,nb2_alpha,nb2_status,poisson_offset_log2FC,poisson_offset_se,poisson_offset_p,poisson_offset_q_bh_all_miRNAs,poisson_status,nb2_offset_q_bh_targets_only
hsa-miR-122-5p,2042.0,31,3.155301433450395,0.7024798475294219,7.066980097591273e-06,2.170011359441996,ok,3.48916762521536,0.852530409743514,4.2634378852843484e-05,8.109946513648145e-05,ok,4.240188058554764e-05
hsa-miR-1246,3355.0,1,,,,,too_sparse,,,,,too_sparse,
hsa-miR-30d-5p,246680.0,39,-1.4269273689392952,0.34564135290312187,3.6538077361093465e-05,0.5224109226842897,ok,-1.8124476611141662,0.32616689924264924,2.747487099910202e-08,5.504102063939707e-08,ok,0.0001096142320832804
hsa-miR-320a,201691.0,39,1.5452511707622356,0.41737532573084174,0.0002136487199338216,0.7863057660407488,ok,1.372084092446946,0.6911168183869265,0.047109515649025546,0.06795942090038853,ok,0.0004272974398676432
hsa-miR-424-5p,5891.0,25,-2.1987780831376265,0.8424816431089573,0.009057333095938019,2.705554914962784,ok,-2.4631349769295015,0.539971172508865,5.076417933437095e-06,9.970944670562112e-06,ok,0.013585999643907028
hsa-miR-486-5p,24140825.0,39,0.07556352332447779,0.16627742644243143,0.6495103949296144,0.12524141334213323,ok,0.005997336941067439,0.15467177409585828,0.9690700918995773,0.9771700557296106,ok,0.6495103949296144
hsa-miR-574-5p,345.0,12,0.7065834269316945,1.520402168322463,0.6421215586411252,9.368236070218675,ok,0.6929348353833209,1.1407284592166291,0.5435527030861067,0.6025041911046367,ok,0.6495103949296144
